Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-05-31,,,,,,,,,,,,,,,,,,2585126582.0,2583763838.0,18.96,18.97,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,-20337190285.586624,0.352031,276734000000.0,-57771000000.0,-57771000000.0,30854000000.0,148368000000.0,2373468000000.0,218963000000.0,70595000000.0,-14710000000.0,16881000000.0,2171000000.0,68287809714.413376,30854000000.0,3173131000000.0,127652000000.0,,,,,30854000000.0,30854000000.0,0.0,30854000000.0,-3951000000.0,34806000000.0,34805000000.0,18909000000.0,53714000000.0,-2044000000.0,-65901000000.0,51950000000.0,9519000000.0,4432000000.0,-14710000000.0,16881000000.0,2171000000.0,127652000000.0,799663000000.0,927315000000.0,2373468000000.0,3300783000000.0,3300783000000.0
2024-05-31,-4764039129.737531,0.394505,198868000000.0,-12076000000.0,-12076000000.0,21388000000.0,136142000000.0,1944527000000.0,186792000000.0,50650000000.0,-9314000000.0,13236000000.0,3922000000.0,28699960870.26247,21388000000.0,2675405000000.0,59344000000.0,2608292683.0,2608292683.0,8.2,8.2,21388000000.0,21388000000.0,0.0,21388000000.0,-1265000000.0,22653000000.0,22654000000.0,14760000000.0,37414000000.0,-392000000.0,-17638000000.0,15767000000.0,1107000000.0,764000000.0,-9314000000.0,13236000000.0,3922000000.0,59345000000.0,730878000000.0,790223000000.0,1944527000000.0,2734750000000.0,2734750000000.0
