Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-08-31,-3711901.306241,0.337446,1422000000.0,-11000000.0,-11000000.0,914000000.0,27789000000.0,1411000000.0,1411000000.0,-28000000.0,33000000.0,5000000.0,921288098.693759,914000000.0,35585000000.0,1399000000.0,,,,,914000000.0,914000000.0,0.0,914000000.0,914000000.0,913000000.0,465000000.0,1378000000.0,19000000.0,-11000000.0,11000000.0,-28000000.0,33000000.0,5000000.0,1398000000.0,7796000000.0,7796000000.0,1715000000.0,6081000000.0,9194000000.0,27789000000.0,36984000000.0,36984000000.0
2024-05-31,-2880755.608028,0.360094,887000000.0,-8000000.0,-8000000.0,541000000.0,24101000000.0,879000000.0,879000000.0,-27000000.0,32000000.0,5000000.0,546119244.391972,541000000.0,31354000000.0,844000000.0,33248000.0,33248000.0,16.29,16.29,541000000.0,541000000.0,0.0,541000000.0,541000000.0,542000000.0,305000000.0,847000000.0,38000000.0,-8000000.0,8000000.0,-27000000.0,32000000.0,5000000.0,845000000.0,7253000000.0,7253000000.0,1552000000.0,5701000000.0,8098000000.0,24101000000.0,32198000000.0,32198000000.0
