Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue
2025-03-31,,,,,,,,,,,,,,,2155839202.0,2155839202.0,-34.09,-34.08,,,,,,,,,,,,,,,,,
2024-06-30,0.0,0.232,119403000000.0,-33568000000.0,78758000000.0,119403000000.0,40645000000.0,5304000000.0,55482000000.0,60786000000.0,-33568000000.0,-33568000000.0,555615000000.0,-18331000000.0,2147664747.0,2147664747.0,-15.64,-15.63,-33568000000.0,-33568000000.0,0.0,-33568000000.0,-8306000000.0,-25262000000.0,-25262000000.0,10425000000.0,-14837000000.0,5304000000.0,55482000000.0,60786000000.0,-18331000000.0,555615000000.0,560032000000.0,537284000000.0,537284000000.0
