Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-05-31,,,,,,,,,,,,,,,,,34107498.0,34062293.0,15.07,15.09,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,50311312.217195,0.378281,2129000000.0,133000000.0,133000000.0,1460000000.0,95215000000.0,2262000000.0,2262000000.0,-51000000.0,52000000.0,1000000.0,1377311312.217195,1460000000.0,133647000000.0,2118000000.0,,,,,1460000000.0,1460000000.0,0.0,1460000000.0,85000000.0,1375000000.0,1374000000.0,836000000.0,2210000000.0,3000000.0,133000000.0,-630000000.0,497000000.0,-51000000.0,52000000.0,1000000.0,2119000000.0,38432000000.0,40551000000.0,95215000000.0,135766000000.0,135766000000.0
2024-05-31,-19024000.0,0.232,911000000.0,-82000000.0,-82000000.0,535000000.0,89844000000.0,829000000.0,829000000.0,-48000000.0,51000000.0,3000000.0,597976000.0,535000000.0,125627000000.0,701000000.0,33968254.0,33946701.0,15.75,15.76,535000000.0,535000000.0,0.0,535000000.0,81000000.0,453000000.0,454000000.0,324000000.0,778000000.0,207000000.0,-82000000.0,38000000.0,44000000.0,-48000000.0,51000000.0,3000000.0,701000000.0,35783000000.0,36484000000.0,89844000000.0,126328000000.0,126328000000.0
