Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-11-30,,,,,,,,,,,,,,,,,49321845.0,49102462.0,62.67,62.95,,,,,,,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,,49441341.0,49112098.0,53.7,54.06,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,-262084251.968504,0.219685,5166000000.0,-1193000000.0,-1193000000.0,2973000000.0,25222000000.0,3973000000.0,3973000000.0,40000000.0,163000000.0,203000000.0,3903915748.031496,2973000000.0,56474000000.0,4798000000.0,,,,,2973000000.0,2973000000.0,0.0,2973000000.0,2973000000.0,2973000000.0,837000000.0,3810000000.0,37000000.0,-1193000000.0,130000000.0,1063000000.0,0.0,40000000.0,163000000.0,203000000.0,4799000000.0,31252000000.0,36051000000.0,25222000000.0,61272000000.0,61272000000.0
2024-05-31,-41630769.230769,0.338462,4235000000.0,-123000000.0,-123000000.0,2622000000.0,24042000000.0,4112000000.0,4112000000.0,58000000.0,147000000.0,205000000.0,2703369230.769231,2622000000.0,54506000000.0,4131000000.0,,,,,2622000000.0,2622000000.0,0.0,2622000000.0,2622000000.0,2623000000.0,1342000000.0,3965000000.0,-83000000.0,-123000000.0,64000000.0,32000000.0,27000000.0,58000000.0,147000000.0,205000000.0,4130000000.0,30464000000.0,34594000000.0,24042000000.0,58636000000.0,58636000000.0
