Date,Open,High,Low,Close,Volume
2007-03-09 00:00:00+09:00,325.7611448462453,329.55866452767646,259.7173242996168,261.6986389160156,9197600
2007-03-12 00:00:00+09:00,258.23125012627963,261.2032210356614,233.2997163864662,239.4087677001953,2537200
2007-03-13 00:00:00+09:00,239.24365018341476,245.51781078173755,220.4211683884463,221.57693481445312,1204800
2007-03-14 00:00:00+09:00,213.81681319156965,227.8511213933329,206.05666630353585,207.21243286132807,1679600
2007-03-15 00:00:00+09:00,207.3775515697041,217.11901298898167,200.4429519153032,201.43360900878903,1011200
2007-03-16 00:00:00+09:00,206.88217371498664,208.03794004858992,194.0036345691216,203.08465576171875,832400
2007-03-19 00:00:00+09:00,206.22180342240765,206.38691295276988,189.54574085582385,199.78253173828125,386400
2007-03-20 00:00:00+09:00,198.1314364346591,203.41494140625,198.1314364346591,199.78253173828125,318400
2007-03-22 00:00:00+09:00,206.38685264135069,218.7700637998317,206.2217431592376,208.86349487304688,724000
2007-03-23 00:00:00+09:00,218.93520097960763,227.8511141416731,218.93520097960763,227.68600463867188,831200
2007-03-26 00:00:00+09:00,227.85110473632807,231.97884214097172,227.0255572553994,227.85110473632807,658000
2007-03-27 00:00:00+09:00,231.37451050206528,233.89127457569185,227.85104079898812,229.3610992431641,283200
2007-03-28 00:00:00+09:00,229.36119470526705,231.3746068021677,229.02562602245027,229.8645477294922,212400
2007-03-29 00:00:00+09:00,229.8644819186844,230.87118767891224,216.4417384489802,219.79742431640625,172800
2007-03-30 00:00:00+09:00,222.31421181007667,228.85779993127892,222.31421181007667,226.50881958007807,252000
2007-04-02 00:00:00+09:00,226.67663923283445,227.3477765806741,223.99208984147597,225.1665802001953,216800
2007-04-03 00:00:00+09:00,223.9920689463615,226.50883376598355,212.247166454792,214.7639312744141,142400
2007-04-04 00:00:00+09:00,213.0860963636829,214.93172396998253,208.0525665283203,208.0525665283203,151200
2007-04-05 00:00:00+09:00,207.88480169896584,213.25390069361228,205.53582088880805,210.56935119628903,72400
2007-04-06 00:00:00+09:00,212.75047243103495,217.28064810582836,212.75047243103495,216.4417266845703,239200
2007-04-09 00:00:00+09:00,218.11961965420772,219.79746288231703,216.44177642609844,216.94512939453125,49200
2007-04-10 00:00:00+09:00,217.61628255948156,232.88465704900568,217.1129295543324,230.70346069335935,224400
2007-04-11 00:00:00+09:00,234.730309541894,242.61617412264383,221.81091437768683,221.97869873046875,316400
2007-04-12 00:00:00+09:00,224.83098637507516,224.83098637507516,215.60284887460563,218.1196136474609,134000
2007-04-13 00:00:00+09:00,217.11292671179544,218.1196327089135,212.2471810590581,212.7505340576172,74800
2007-04-16 00:00:00+09:00,213.086098772735,213.92502042144656,208.8914905291772,212.24717712402344,60000
2007-04-17 00:00:00+09:00,215.60286371886968,221.30753093010824,209.5626278481465,212.24717712402344,162000
2007-04-18 00:00:00+09:00,213.75722737950605,213.9250117024099,211.07267821304444,213.08609008789065,54400
2007-04-19 00:00:00+09:00,213.0860477294922,213.253832019043,206.20689185791016,209.73036193847656,88800
2007-04-20 00:00:00+09:00,209.7303964258209,209.8981807429616,192.95196471175527,206.3747100830078,250800
2007-04-23 00:00:00+09:00,206.20695850810068,206.3747428518827,201.34121253842216,204.6968994140625,70800
2007-04-24 00:00:00+09:00,204.52909641250352,206.2069396972656,199.6633508866933,206.2069396972656,133200
2007-04-25 00:00:00+09:00,216.2740188781009,216.4418032216836,208.0525860425485,210.56935119628903,51600
2007-04-26 00:00:00+09:00,213.4216514029154,213.4216514029154,206.3747100830078,206.3747100830078,33200
