Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,1418362.216041,0.330236,227424000.0,4295000.0,4295000.0,137009000.0,25659000.0,1164358000.0,231719000.0,206060000.0,-902000.0,1497000.0,595000.0,134132362.216041,137009000.0,2030233000.0,71831000.0,177684000.0,,,,,137009000.0,137009000.0,0.0,137009000.0,0.0,137009000.0,137009000.0,67554000.0,204563000.0,9532000.0,4295000.0,-4295000.0,-902000.0,1497000.0,595000.0,177684000.0,865875000.0,260961000.0,25659000.0,25659000.0,122757000.0,122757000.0,71831000.0,1043559000.0,1164358000.0,2207916000.0,2207916000.0
2024-06-30,-1289770.119167,0.315811,249967000.0,-4084000.0,-4084000.0,148932000.0,26596000.0,1119078000.0,245883000.0,219287000.0,-1444000.0,1609000.0,165000.0,151726229.880833,148932000.0,1993927000.0,70612000.0,91825000.0,2926317.0,2926317.0,50.89,50.89,148932000.0,148932000.0,0.0,148932000.0,0.0,148932000.0,148933000.0,68745000.0,217678000.0,21341000.0,-4084000.0,4084000.0,-1444000.0,1609000.0,165000.0,91829000.0,874849000.0,281313000.0,26596000.0,26596000.0,110784000.0,110784000.0,70612000.0,966678000.0,1119078000.0,2085757000.0,2085757000.0
