Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,1899946.780202,0.316658,1874000000.0,6000000.0,6000000.0,1271000000.0,6803000000.0,1880000000.0,1880000000.0,3000000.0,1000000.0,4000000.0,1266899946.780202,1271000000.0,9383000000.0,1837000000.0,,,,,1271000000.0,1271000000.0,0.0,1271000000.0,-14000000.0,1285000000.0,1284000000.0,595000000.0,1879000000.0,5000000.0,6000000.0,-6000000.0,3000000.0,0.0,1000000.0,4000000.0,1838000000.0,2580000000.0,962000000.0,561000000.0,561000000.0,4418000000.0,6803000000.0,11221000000.0,11221000000.0
2024-06-30,1558558.558559,0.311712,1661000000.0,5000000.0,5000000.0,1127000000.0,6663000000.0,1666000000.0,1666000000.0,-3000000.0,1000000.0,3000000.0,1123558558.558559,1127000000.0,9507000000.0,1631000000.0,16121694.0,16121694.0,69.92,69.92,1127000000.0,1127000000.0,0.0,1127000000.0,-17000000.0,1145000000.0,1146000000.0,519000000.0,1665000000.0,22000000.0,5000000.0,-5000000.0,-3000000.0,5000000.0,1000000.0,3000000.0,1634000000.0,2844000000.0,1217000000.0,582000000.0,582000000.0,4478000000.0,6663000000.0,11142000000.0,11142000000.0
