Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,0.0,0.232,38182000000.0,20777000000.0,20777000000.0,22242000000.0,11165000000.0,154359000000.0,38182000000.0,27017000000.0,-1760000000.0,2463000000.0,703000000.0,22242000000.0,22242000000.0,192482000000.0,26314000000.0,,,,,22242000000.0,22242000000.0,0.0,22242000000.0,-5291000000.0,27533000000.0,27533000000.0,-2979000000.0,24554000000.0,-8724000000.0,20777000000.0,-20777000000.0,-1760000000.0,2463000000.0,703000000.0,5537000000.0,38123000000.0,9336000000.0,29399000000.0,29399000000.0,43660000000.0,154359000000.0,198019000000.0,198019000000.0
2024-12-31,0.0,0.232,31168000000.0,10619000000.0,10619000000.0,9299000000.0,12477000000.0,141332000000.0,31168000000.0,18691000000.0,-1096000000.0,1737000000.0,641000000.0,9299000000.0,9299000000.0,172479000000.0,18050000000.0,928463102.0,928463102.0,10.015476,10.015476,9299000000.0,9299000000.0,0.0,9299000000.0,-389000000.0,9688000000.0,9688000000.0,7266000000.0,16954000000.0,-6892000000.0,10619000000.0,-10619000000.0,-1096000000.0,1737000000.0,641000000.0,7431000000.0,31147000000.0,7658000000.0,24255000000.0,24255000000.0,38578000000.0,141332000000.0,179910000000.0,179910000000.0
