Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-05-31,,,,,,,,,,,,,,,,,50196714.0,50196714.0,43.21,43.21,,,,,,,,,,,,,,,,,,,,,
2024-08-31,-33146894.161557,0.309784,3875000000.0,-107000000.0,-107000000.0,2558000000.0,71185000000.0,3768000000.0,3768000000.0,28000000.0,17000000.0,45000000.0,2631853105.838443,2558000000.0,107894000000.0,3473000000.0,,,,,2558000000.0,2558000000.0,0.0,2558000000.0,-31000000.0,2589000000.0,2589000000.0,1162000000.0,3751000000.0,358000000.0,-108000000.0,108000000.0,28000000.0,17000000.0,45000000.0,3473000000.0,36709000000.0,40182000000.0,71185000000.0,111367000000.0,111367000000.0
2024-05-31,47857913.669065,0.389089,3225000000.0,123000000.0,123000000.0,2006000000.0,67150000000.0,3348000000.0,3348000000.0,30000000.0,12000000.0,42000000.0,1930857913.669065,2006000000.0,102444000000.0,2833000000.0,51955452.0,51955452.0,38.61,38.61,2006000000.0,2006000000.0,0.0,2006000000.0,-31000000.0,2037000000.0,2038000000.0,1298000000.0,3336000000.0,364000000.0,123000000.0,-123000000.0,30000000.0,12000000.0,42000000.0,2833000000.0,35294000000.0,38127000000.0,67150000000.0,105277000000.0,105277000000.0
