code,index_name,event_type,event_date
5108.T,Nikkei225,IN,2026-01-18
9984.T,Nikkei225,IN,2026-01-18
5801.T,Nikkei225,IN,2026-01-18
8306.T,Nikkei225,IN,2026-01-18
9001.T,Nikkei225,IN,2026-01-18
5401.T,Nikkei225,IN,2026-01-18
8804.T,Nikkei225,IN,2026-01-18
2432.T,Nikkei225,IN,2026-01-18
4543.T,Nikkei225,IN,2026-01-18
8058.T,Nikkei225,IN,2026-01-18
9147.T,Nikkei225,IN,2026-01-18
9007.T,Nikkei225,IN,2026-01-18
6146.T,Nikkei225,IN,2026-01-18
9101.T,Nikkei225,IN,2026-01-18
4704.T,Nikkei225,IN,2026-01-18
8001.T,Nikkei225,IN,2026-01-18
8331.T,Nikkei225,IN,2026-01-18
6674.T,Nikkei225,IN,2026-01-18
8802.T,Nikkei225,IN,2026-01-18
2768.T,Nikkei225,IN,2026-01-18
4507.T,Nikkei225,IN,2026-01-18
6752.T,Nikkei225,IN,2026-01-18
6988.T,Nikkei225,IN,2026-01-18
8002.T,Nikkei225,IN,2026-01-18
8601.T,Nikkei225,IN,2026-01-18
8304.T,Nikkei225,IN,2026-01-18
1812.T,Nikkei225,IN,2026-01-18
6526.T,Nikkei225,IN,2026-01-18
7912.T,Nikkei225,IN,2026-01-18
7270.T,Nikkei225,IN,2026-01-18
7211.T,Nikkei225,IN,2026-01-18
3401.T,Nikkei225,IN,2026-01-18
5802.T,Nikkei225,IN,2026-01-18
3405.T,Nikkei225,IN,2026-01-18
3086.T,Nikkei225,IN,2026-01-18
9735.T,Nikkei225,IN,2026-01-18
4911.T,Nikkei225,IN,2026-01-18
4324.T,Nikkei225,IN,2026-01-18
9008.T,Nikkei225,IN,2026-01-18
7832.T,Nikkei225,IN,2026-01-18
3092.T,Nikkei225,IN,2026-01-18
5020.T,Nikkei225,IN,2026-01-18
4661.T,Nikkei225,IN,2026-01-18
6504.T,Nikkei225,IN,2026-01-18
6472.T,Nikkei225,IN,2026-01-18
1801.T,Nikkei225,IN,2026-01-18
4151.T,Nikkei225,IN,2026-01-18
4062.T,Nikkei225,IN,2026-01-18
7733.T,Nikkei225,IN,2026-01-18
9766.T,Nikkei225,IN,2026-01-18
7911.T,Nikkei225,IN,2026-01-18
4751.T,Nikkei225,IN,2026-01-18
4506.T,Nikkei225,IN,2026-01-18
6113.T,Nikkei225,IN,2026-01-18
6479.T,Nikkei225,IN,2026-01-18
6770.T,Nikkei225,IN,2026-01-18
9602.T,Nikkei225,IN,2026-01-18
8750.T,Nikkei225,IN,2026-01-18
5332.T,Nikkei225,IN,2026-01-18
2269.T,Nikkei225,IN,2026-01-18
7269.T,Nikkei225,IN,2026-01-18
9107.T,Nikkei225,IN,2026-01-18
6954.T,Nikkei225,IN,2026-01-18
7205.T,Nikkei225,IN,2026-01-18
6724.T,Nikkei225,IN,2026-01-18
6645.T,Nikkei225,IN,2026-01-18
9843.T,Nikkei225,IN,2026-01-18
5803.T,Nikkei225,IN,2026-01-18
8031.T,Nikkei225,IN,2026-01-18
7261.T,Nikkei225,IN,2026-01-18
5233.T,Nikkei225,IN,2026-01-18
4063.T,Nikkei225,IN,2026-01-18
5301.T,Nikkei225,IN,2026-01-18
4689.T,Nikkei225,IN,2026-01-18
5411.T,Nikkei225,IN,2026-01-18
6503.T,Nikkei225,IN,2026-01-18
4061.T,Nikkei225,IN,2026-01-18
6701.T,Nikkei225,IN,2026-01-18
6302.T,Nikkei225,IN,2026-01-18
3407.T,Nikkei225,IN,2026-01-18
9503.T,Nikkei225,IN,2026-01-18
