Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-11-30,,,,,,,,,,,,,,,,,2685012285.0,2685012285.0,-4.07,-4.07,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,,2583224115.0,2583224115.0,-2.543333,-2.543333,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,-1723528000.0,0.232,55210000000.0,-7429000000.0,-7429000000.0,363000000.0,1607602000000.0,47781000000.0,47781000000.0,-9447000000.0,10789000000.0,1342000000.0,6068472000.0,363000000.0,2499415000000.0,50805000000.0,,,,,363000000.0,363000000.0,0.0,363000000.0,-12277000000.0,12640000000.0,12639000000.0,24353000000.0,36992000000.0,1209000000.0,-7828000000.0,-1316000000.0,6410000000.0,2734000000.0,-9447000000.0,10789000000.0,1342000000.0,50805000000.0,891813000000.0,942618000000.0,1607602000000.0,2550218000000.0,2550218000000.0
2024-05-31,-1229832000.0,0.232,55520000000.0,-5301000000.0,-5301000000.0,5125000000.0,1548539000000.0,50219000000.0,50219000000.0,-8741000000.0,10123000000.0,1382000000.0,9196168000.0,5125000000.0,2401418000000.0,47795000000.0,2571070234.0,2568125946.0,1.993333,1.996667,5125000000.0,5125000000.0,0.0,5125000000.0,-13208000000.0,18334000000.0,18335000000.0,21761000000.0,40096000000.0,1783000000.0,-5301000000.0,2593000000.0,979000000.0,1729000000.0,-8741000000.0,10123000000.0,1382000000.0,47796000000.0,852879000000.0,900675000000.0,1548539000000.0,2449216000000.0,2449216000000.0
