Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,-134820971.867008,0.345695,2743000000.0,-390000000.0,-390000000.0,1535000000.0,58590000000.0,2353000000.0,2353000000.0,-3000000.0,7000000.0,4000000.0,1790179028.132992,1535000000.0,73538000000.0,2502000000.0,,,,,1535000000.0,1535000000.0,0.0,1535000000.0,1535000000.0,1535000000.0,811000000.0,2346000000.0,237000000.0,-390000000.0,249000000.0,70000000.0,14000000.0,-3000000.0,7000000.0,4000000.0,2503000000.0,14948000000.0,,,17451000000.0,58590000000.0,76040000000.0,76040000000.0
2024-06-30,-14937360.178971,0.339485,1840000000.0,-44000000.0,-44000000.0,1180000000.0,54995000000.0,1796000000.0,1796000000.0,-4000000.0,8000000.0,4000000.0,1209062639.821029,1180000000.0,69730000000.0,1605000000.0,22344253.0,22334247.0,52.81,52.87,1180000000.0,1180000000.0,0.0,1180000000.0,1180000000.0,1181000000.0,607000000.0,1788000000.0,231000000.0,-44000000.0,31000000.0,0.0,13000000.0,-4000000.0,8000000.0,4000000.0,1605000000.0,14735000000.0,14735000000.0,14735000000.0,16340000000.0,54995000000.0,71336000000.0,71336000000.0
